tahun,kode_kabupaten_kota,nama_kabupaten_kota,Banjir,Tanah Longsor,Cuaca Ekstrem,Gempa Bumi,Kebakaran
2012,3201,KABUPATEN BOGOR,0,0,2,3,0
2012,3202,KABUPATEN SUKABUMI,20,48,27,41,34
2012,3203,KABUPATEN CIANJUR,1,9,23,0,4
2012,3204,KABUPATEN BANDUNG,17,12,3,0,3
2012,3205,KABUPATEN GARUT,7,36,28,0,59
2012,3206,KABUPATEN TASIKMALAYA,0,2,1,0,0
2012,3207,KABUPATEN CIAMIS,0,2,2,0,0
2012,3208,KABUPATEN KUNINGAN,6,17,2,0,3
2012,3209,KABUPATEN CIREBON,0,0,1,0,0
2012,3210,KABUPATEN MAJALENGKA,0,0,6,0,0
2012,3211,KABUPATEN SUMEDANG,0,0,2,0,0
2012,3212,KABUPATEN INDRAMAYU,10,0,6,0,0
2012,3213,KABUPATEN SUBANG,4,0,6,0,1
2012,3214,KABUPATEN PURWAKARTA,0,0,2,0,0
2012,3215,KABUPATEN KARAWANG,0,0,0,0,0
2012,3216,KABUPATEN BEKASI,0,0,5,0,0
2012,3217,KABUPATEN BANDUNG BARAT,2,7,2,0,5
2012,3218,KABUPATEN PANGANDARAN,0,0,0,0,0
2012,3271,KOTA BOGOR,2,15,1,0,1
2012,3272,KOTA SUKABUMI,10,27,35,0,20
2012,3273,KOTA BANDUNG,6,4,2,0,0
2012,3274,KOTA CIREBON,0,0,0,0,0
2012,3275,KOTA BEKASI,0,0,0,0,0
2012,3276,KOTA DEPOK,0,0,0,0,0
2012,3277,KOTA CIMAHI,0,0,1,0,0
2012,3278,KOTA TASIKMALAYA,0,0,0,0,0
2012,3279,KOTA BANJAR,1,8,14,0,20
2013,3201,KABUPATEN BOGOR,19,48,13,0,3
2013,3202,KABUPATEN SUKABUMI,17,34,20,3,15
2013,3203,KABUPATEN CIANJUR,21,17,9,2,6
2013,3204,KABUPATEN BANDUNG,46,11,5,1,2
2013,3205,KABUPATEN GARUT,11,64,15,1,65
2013,3206,KABUPATEN TASIKMALAYA,12,61,27,6,21
2013,3207,KABUPATEN CIAMIS,29,37,17,2,19
2013,3208,KABUPATEN KUNINGAN,15,119,11,2,28
2013,3209,KABUPATEN CIREBON,7,2,1,0,0
2013,3210,KABUPATEN MAJALENGKA,4,12,4,0,3
2013,3211,KABUPATEN SUMEDANG,1,7,1,0,6
2013,3212,KABUPATEN INDRAMAYU,5,0,1,0,0
2013,3213,KABUPATEN SUBANG,39,0,7,1,0
2013,3214,KABUPATEN PURWAKARTA,2,2,3,0,0
2013,3215,KABUPATEN KARAWANG,71,1,2,0,0
2013,3216,KABUPATEN BEKASI,34,1,5,0,0
2013,3217,KABUPATEN BANDUNG BARAT,2,35,20,0,16
2013,3218,KABUPATEN PANGANDARAN,0,0,0,0,0
2013,3271,KOTA BOGOR,1,3,1,0,1
2013,3272,KOTA SUKABUMI,5,11,3,1,11
2013,3273,KOTA BANDUNG,1,0,1,0,3
2013,3274,KOTA CIREBON,1,0,0,0,1
2013,3275,KOTA BEKASI,35,0,1,0,0
2013,3276,KOTA DEPOK,1,1,1,0,1
2013,3277,KOTA CIMAHI,11,7,0,0,1
2013,3278,KOTA TASIKMALAYA,0,3,1,0,0
2013,3279,KOTA BANJAR,0,1,5,0,6
2014,3201,KABUPATEN BOGOR,8,19,16,0,4
2014,3202,KABUPATEN SUKABUMI,5,25,8,1,4
2014,3203,KABUPATEN CIANJUR,2,14,1,0,4
2014,3204,KABUPATEN BANDUNG,17,15,9,1,31
2014,3205,KABUPATEN GARUT,9,27,13,2,15
2014,3206,KABUPATEN TASIKMALAYA,6,32,9,3,13
2014,3207,KABUPATEN CIAMIS,12,44,28,1,53
2014,3208,KABUPATEN KUNINGAN,10,46,9,0,12
2014,3209,KABUPATEN CIREBON,15,2,6,0,2
2014,3210,KABUPATEN MAJALENGKA,4,8,1,0,2
2014,3211,KABUPATEN SUMEDANG,1,1,1,0,3
2014,3212,KABUPATEN INDRAMAYU,1,0,0,0,0
2014,3213,KABUPATEN SUBANG,1,2,2,0,0
2014,3214,KABUPATEN PURWAKARTA,0,1,1,1,0
2014,3215,KABUPATEN KARAWANG,1,1,2,0,0
2014,3216,KABUPATEN BEKASI,3,0,0,0,0
2014,3217,KABUPATEN BANDUNG BARAT,2,11,1,0,3
2014,3218,KABUPATEN PANGANDARAN,2,0,0,0,0
2014,3271,KOTA BOGOR,1,3,0,0,0
2014,3272,KOTA SUKABUMI,2,4,1,0,2
2014,3273,KOTA BANDUNG,2,2,3,0,7
2014,3274,KOTA CIREBON,2,1,1,0,2
2014,3275,KOTA BEKASI,1,0,0,0,0
2014,3276,KOTA DEPOK,2,1,1,0,0
2014,3277,KOTA CIMAHI,0,0,0,0,2
2014,3278,KOTA TASIKMALAYA,4,0,1,0,4
2014,3279,KOTA BANJAR,1,5,1,0,0
2015,3201,KABUPATEN BOGOR,5,16,10,0,40
2015,3202,KABUPATEN SUKABUMI,6,42,16,4,46
2015,3203,KABUPATEN CIANJUR,3,9,2,3,3
2015,3204,KABUPATEN BANDUNG,11,19,11,0,19
2015,3205,KABUPATEN GARUT,5,15,3,3,6
2015,3206,KABUPATEN TASIKMALAYA,1,4,2,2,2
2015,3207,KABUPATEN CIAMIS,3,6,8,1,8
2015,3208,KABUPATEN KUNINGAN,3,21,3,0,9
2015,3209,KABUPATEN CIREBON,1,1,0,0,1
2015,3210,KABUPATEN MAJALENGKA,3,12,1,0,2
2015,3211,KABUPATEN SUMEDANG,3,8,1,1,2
2015,3212,KABUPATEN INDRAMAYU,1,0,1,0,2
2015,3213,KABUPATEN SUBANG,0,1,0,0,3
2015,3214,KABUPATEN PURWAKARTA,0,3,0,0,2
2015,3215,KABUPATEN KARAWANG,0,0,0,0,0
2015,3216,KABUPATEN BEKASI,3,0,1,0,0
2015,3217,KABUPATEN BANDUNG BARAT,2,7,0,0,1
2015,3218,KABUPATEN PANGANDARAN,1,6,19,3,30
2015,3271,KOTA BOGOR,0,1,3,0,4
2015,3272,KOTA SUKABUMI,0,0,0,0,0
2015,3273,KOTA BANDUNG,2,2,2,0,8
2015,3274,KOTA CIREBON,1,0,1,0,3
2015,3275,KOTA BEKASI,1,0,0,0,0
2015,3276,KOTA DEPOK,0,0,0,0,0
2015,3277,KOTA CIMAHI,0,0,0,0,1
2015,3278,KOTA TASIKMALAYA,2,2,1,0,0
2015,3279,KOTA BANJAR,0,3,3,0,0
2016,3201,KABUPATEN BOGOR,18,47,32,0,39
2016,3202,KABUPATEN SUKABUMI,19,53,16,7,31
2016,3203,KABUPATEN CIANJUR,7,12,1,1,0
2016,3204,KABUPATEN BANDUNG,45,31,7,3,28
2016,3205,KABUPATEN GARUT,11,21,1,9,0
2016,3206,KABUPATEN TASIKMALAYA,8,61,10,8,3
2016,3207,KABUPATEN CIAMIS,5,24,18,0,8
2016,3208,KABUPATEN KUNINGAN,2,73,12,0,17
2016,3209,KABUPATEN CIREBON,0,0,0,0,0
2016,3210,KABUPATEN MAJALENGKA,6,25,5,0,8
2016,3211,KABUPATEN SUMEDANG,13,28,2,0,22
2016,3212,KABUPATEN INDRAMAYU,4,0,1,0,0
2016,3213,KABUPATEN SUBANG,1,0,0,1,0
2016,3214,KABUPATEN PURWAKARTA,0,1,1,0,0
2016,3215,KABUPATEN KARAWANG,13,1,12,0,19
2016,3216,KABUPATEN BEKASI,12,0,0,0,4
2016,3217,KABUPATEN BANDUNG BARAT,3,22,1,0,1
2016,3218,KABUPATEN PANGANDARAN,6,11,24,0,7
2016,3271,KOTA BOGOR,2,18,6,0,11
2016,3272,KOTA SUKABUMI,2,5,2,8,4
2016,3273,KOTA BANDUNG,7,3,3,0,22
2016,3274,KOTA CIREBON,1,0,4,0,1
2016,3275,KOTA BEKASI,9,1,0,0,4
2016,3276,KOTA DEPOK,1,0,0,0,0
2016,3277,KOTA CIMAHI,9,11,6,1,11
2016,3278,KOTA TASIKMALAYA,6,14,13,0,1
2016,3279,KOTA BANJAR,1,2,2,0,0
2017,3201,KABUPATEN BOGOR,20,68,39,9,15
2017,3202,KABUPATEN SUKABUMI,19,105,43,19,70
2017,3203,KABUPATEN CIANJUR,5,23,2,9,1
2017,3204,KABUPATEN BANDUNG,30,27,9,10,46
2017,3205,KABUPATEN GARUT,4,27,6,70,22
2017,3206,KABUPATEN TASIKMALAYA,5,38,12,61,4
2017,3207,KABUPATEN CIAMIS,4,29,12,3,19
2017,3208,KABUPATEN KUNINGAN,4,43,10,0,17
2017,3209,KABUPATEN CIREBON,7,4,5,0,8
2017,3210,KABUPATEN MAJALENGKA,8,27,8,2,23
2017,3211,KABUPATEN SUMEDANG,8,55,11,1,50
2017,3212,KABUPATEN INDRAMAYU,3,3,5,0,2
2017,3213,KABUPATEN SUBANG,6,3,10,2,3
2017,3214,KABUPATEN PURWAKARTA,0,2,0,0,39
2017,3215,KABUPATEN KARAWANG,7,4,13,0,17
2017,3216,KABUPATEN BEKASI,7,3,4,2,21
2017,3217,KABUPATEN BANDUNG BARAT,3,22,12,2,21
2017,3218,KABUPATEN PANGANDARAN,5,16,22,22,16
2017,3271,KOTA BOGOR,16,131,56,2,56
2017,3272,KOTA SUKABUMI,0,0,1,58,1
2017,3273,KOTA BANDUNG,5,2,8,0,93
2017,3274,KOTA CIREBON,0,0,3,1,5
2017,3275,KOTA BEKASI,5,2,2,0,13
2017,3276,KOTA DEPOK,0,0,0,0,0
2017,3277,KOTA CIMAHI,3,8,3,2,42
2017,3278,KOTA TASIKMALAYA,7,22,27,4,11
2017,3279,KOTA BANJAR,2,9,9,5,5
2018,3201,KABUPATEN BOGOR,4,48,25,3,13
2018,3202,KABUPATEN SUKABUMI,3,69,29,6,55
2018,3203,KABUPATEN CIANJUR,4,21,4,1,5
2018,3204,KABUPATEN BANDUNG,19,16,7,3,31
2018,3205,KABUPATEN GARUT,3,33,6,5,9
2018,3206,KABUPATEN TASIKMALAYA,5,16,5,2,4
2018,3207,KABUPATEN CIAMIS,5,25,5,0,29
2018,3208,KABUPATEN KUNINGAN,3,55,14,0,27
2018,3209,KABUPATEN CIREBON,10,4,10,0,25
2018,3210,KABUPATEN MAJALENGKA,5,55,7,0,13
2018,3211,KABUPATEN SUMEDANG,5,37,13,0,48
2018,3212,KABUPATEN INDRAMAYU,2,1,1,0,2
2018,3213,KABUPATEN SUBANG,2,9,8,0,6
2018,3214,KABUPATEN PURWAKARTA,0,3,5,0,56
2018,3215,KABUPATEN KARAWANG,1,0,8,0,11
2018,3216,KABUPATEN BEKASI,5,0,5,0,10
2018,3217,KABUPATEN BANDUNG BARAT,2,28,8,0,14
2018,3218,KABUPATEN PANGANDARAN,3,4,7,1,34
2018,3271,KOTA BOGOR,12,101,58,0,42
2018,3272,KOTA SUKABUMI,1,3,2,4,1
2018,3273,KOTA BANDUNG,13,11,11,0,87
2018,3274,KOTA CIREBON,2,1,2,0,15
2018,3275,KOTA BEKASI,6,1,4,0,4
2018,3276,KOTA DEPOK,0,0,1,0,3
2018,3277,KOTA CIMAHI,13,11,19,0,30
2018,3278,KOTA TASIKMALAYA,8,19,31,0,11
2018,3279,KOTA BANJAR,0,0,3,0,0
2019,3201,KABUPATEN BOGOR,10,68,106,1,6
2019,3202,KABUPATEN SUKABUMI,10,100,35,3,93
2019,3203,KABUPATEN CIANJUR,3,7,8,0,10
2019,3204,KABUPATEN BANDUNG,18,20,19,3,47
2019,3205,KABUPATEN GARUT,21,39,19,1,53
2019,3206,KABUPATEN TASIKMALAYA,3,23,10,4,5
2019,3207,KABUPATEN CIAMIS,5,32,29,0,57
2019,3208,KABUPATEN KUNINGAN,8,34,20,1,26
2019,3209,KABUPATEN CIREBON,9,2,14,0,32
